GENERADORES,ESCENARIOS,gen_d_uc,gen_d_pg,gen_d_resup
COCHRANE_1,Seco.Dmin,1,0,0
COCHRANE_2,Seco.Dmin,1,0,0
San_Ignacio,Seco.Dmin,0,0,0
Los_Vientos,Seco.Dmin,1,0,0
San_Isidro_02_GNL,Seco.Dmin,1,0,0
Los_Condores,Seco.Dmin,0,0,0
Pehuenche,Seco.Dmin,1,0,0
Santa_Maria,Seco.Dmin,1,0,0
Curillinque,Seco.Dmin,0,0,0
Angostura,Seco.Dmin,1,0,0
Espinos_01,Seco.Dmin,1,0,0
Machicura,Seco.Dmin,1,0,0
CC1_GNL,Seco.Dmin,1,0,0
El_Paso,Seco.Dmin,0,0,0
Blanco,Seco.Dmin,0,0,0
CC2_GNL,Seco.Dmin,1,0,0
Loma_Alta,Seco.Dmin,0,0,0
Cipreses,Seco.Dmin,0,0,0
Nueva_Renca_Diesel,Seco.Dmin,1,0,0
Confluencia,Seco.Dmin,0,0,0
Solar_SIC_Norte1,Seco.Dmin,0,0,0
Solar_SIC_Norte2,Seco.Dmin,0,0,0
Cardones,Seco.Dmin,1,0,0
IEMejillones,Seco.Dmin,1,0,0
San_Andres,Seco.Dmin,0,0,0
Alfalfal,Seco.Dmin,0,0,0
nuble,Seco.Dmin,1,30,0
Volcan,Seco.Dmin,0,0,0
Rucue,Seco.Dmin,0,0,0
Rucatayo,Seco.Dmin,0,0,0
Solar_SIC_Centro,Seco.Dmin,0,0,0
Solar_SING_Centro1,Seco.Dmin,0,0,0
Solar_SING_Norte,Seco.Dmin,0,0,0
Eolico_SING_Centro,Seco.Dmin,0,0,0
CTM3_SIC,Seco.Dmin,1,0,0
Isla,Seco.Dmin,0,0,0
Hornitos,Seco.Dmin,0,0,0
Eolico-SIC_CentroNorte,Seco.Dmin,0,0,0
U15,Seco.Dmin,1,0,0
Pilmaiquen,Seco.Dmin,0,0,0
Sauzal,Seco.Dmin,0,0,0
Los_Pinos,Seco.Dmin,1,0,0
Peuchen,Seco.Dmin,0,0,0
Campiche,Seco.Dmin,1,0,0
Palmucho,Seco.Dmin,0,0,0
Pangue,Seco.Dmin,1,0,0
Florida,Seco.Dmin,0,0,0
CTTAR,Seco.Dmin,1,0,0
Solar_SING_Centro2,Seco.Dmin,0,0,0
Las_Lajas,Seco.Dmin,0,0,0
Eolico-SIC_Centro,Seco.Dmin,0,0,0
Ancoa,Seco.Dmin,0,0,0
Chacayes,Seco.Dmin,0,0,0
Eolico_SIC_Sur,Seco.Dmin,0,0,0
ANG_I,Seco.Dmin,1,0,0
U16_GNL,Seco.Dmin,1,0,0
Teno,Seco.Dmin,1,0,0
Rapel,Seco.Dmin,0,0,0
Taltal_02_Diesel,Seco.Dmin,1,0,0
San_Isidro_GNL,Seco.Dmin,1,0,0
Nueva_Ventanas,Seco.Dmin,1,0,0
CTA,Seco.Dmin,1,0,0
U13,Seco.Dmin,1,0,0
U12,Seco.Dmin,1,0,0
CTH,Seco.Dmin,1,0,0
U14,Seco.Dmin,1,0,0
Eolico_SIC_CentroSurC,Seco.Dmin,0,0,0
Ralco,Seco.Dmin,1,0,0
Chacabuquito,Seco.Dmin,0,0,0
KELAR,Seco.Dmin,1,0,0
Mampil,Seco.Dmin,0,0,0
La_Higuera,Seco.Dmin,0,0,0
Maitenes,Seco.Dmin,0,0,0
Coronel_TG_Diesel,Seco.Dmin,1,0,0
Ventanas_01,Seco.Dmin,1,0,0
Ventanas_02,Seco.Dmin,1,0,0
Bocamina_01,Seco.Dmin,1,0,0
Bocamina_02,Seco.Dmin,1,0,0
Antuco,Seco.Dmin,1,0,0
Solar_SIC_CentroNorte,Seco.Dmin,0,0,0
Taltal_01_Diesel,Seco.Dmin,1,0,0
Juncal,Seco.Dmin,0,0,0
Solar_SING_Sur,Seco.Dmin,0,0,0
Canutillar,Seco.Dmin,1,0,0
Ojos_de_Agua,Seco.Dmin,0,0,0
Laja_I,Seco.Dmin,0,0,0
ANG_II,Seco.Dmin,1,0,0
Puntilla,Seco.Dmin,0,0,0
El_Toro,Seco.Dmin,0,0,0
Abanico,Seco.Dmin,0,0,0
Los_Quilos,Seco.Dmin,0,0,0
Pullinque,Seco.Dmin,0,0,0
Los_Hierros,Seco.Dmin,0,0,0
NTO2,Seco.Dmin,1,0,0
NTO1,Seco.Dmin,1,0,0
San_Pedro,Seco.Dmin,0,0,0
Antilhue_TG_02,Seco.Dmin,1,0,0
Antilhue_TG_01,Seco.Dmin,1,0,0
Nehuenco_01_Diesel,Seco.Dmin,1,0,0
Dona_Carmen,Seco.Dmin,1,0,0
Alfalfal_02,Seco.Dmin,0,0,0
Chiburgo,Seco.Dmin,0,0,0
Eolico_SIC_Norte,Seco.Dmin,0,0,0
Santa_Lidia,Seco.Dmin,1,0,0
Guacolda_01,Seco.Dmin,1,0,0
Guacolda_02,Seco.Dmin,1,0,0
Guacolda_03,Seco.Dmin,1,0,0
Guacolda_04,Seco.Dmin,1,0,0
Guacolda_05,Seco.Dmin,1,0,0
CTM2,Seco.Dmin,1,0,0
Nehuenco_02_Diesel,Seco.Dmin,1,0,0
Quilleco,Seco.Dmin,0,0,0
CTM1,Seco.Dmin,1,0,0
Colbun,Seco.Dmin,1,0,0
